USW00014739,20130113,WDF2,220,,,X,
USW00014739,20130113,WDF5,210,,,X,
USW00014739,20130113,WSF2,72,,,X,
USW00014739,20130113,WSF5,98,,,X,
USW00014739,20130113,WT13,1,,,X,
USW00014739,20130113,WT14,1,,,X,
USW00014739,20130114,TMAX,161,,,X,2400
USW00014739,20130114,TMIN,56,,,X,2400
USW00014739,20130114,PRCP,0,,,X,2400
USW00014739,20130114,SNOW,0,,,X,
USW00014739,20130114,AWND,59,,,X,
USW00014739,20130114,WDF2,230,,,X,
USW00014739,20130114,WDF5,220,,,X,
USW00014739,20130114,WSF2,98,,,X,
USW00014739,20130114,WSF5,116,,,X,
USW00014739,20130115,TMAX,56,,,X,2400
USW00014739,20130115,TMIN,17,,,X,2400
USW00014739,20130115,PRCP,0,T,,X,2400
USW00014739,20130115,SNOW,0,,,X,
USW00014739,20130115,AWND,28,,,X,
USW00014739,20130115,WDF2,320,,,X,
USW00014739,20130115,WDF5,330,,,X,
USW00014739,20130115,WSF2,58,,,X,
USW00014739,20130115,WSF5,72,,,X,
USW00014739,20130115,WT16,1,,,X,
USW00014739,20130116,TMAX,22,,,X,2400
USW00014739,20130116,TMIN,-11,,,X,2400
USW00014739,20130116,PRCP,94,,,X,2400
USW00014739,20130116,SNOW,81,,,X,
USW00014739,20130116,AWND,29,,,X,
USW00014739,20130116,WDF2,320,,,X,
USW00014739,20130116,WDF5,320,,,X,
USW00014739,20130116,WSF2,58,,,X,
USW00014739,20130116,WSF5,72,,,X,
USW00014739,20130116,WT04,1,,,X,
USW00014739,20130116,WT14,1,,,X,
USW00014739,20130116,WT16,1,,,X,
USW00014739,20130116,WT18,1,,,X,
USW00014739,20130117,TMAX,56,,,X,2400
USW00014739,20130117,TMIN,-11,,,X,2400
USW00014739,20130117,PRCP,0,,,X,2400
USW00014739,20130117,SNOW,0,,,X,
USW00014739,20130117,AWND,51,,,X,
USW00014739,20130117,WDF2,280,,,X,
USW00014739,20130117,WDF5,260,,,X,
USW00014739,20130117,WSF2,89,,,X,
USW00014739,20130117,WSF5,112,,,X,
USW00014739,20130118,TMAX,-11,,,X,2400
USW00014739,20130118,TMIN,-72,,,X,2400
USW00014739,20130118,PRCP,0,,,X,2400
USW00014739,20130118,SNOW,0,,,X,
USW00014739,20130118,AWND,58,,,X,
USW00014739,20130118,WDF2,300,,,X,
USW00014739,20130118,WDF5,320,,,X,
USW00014739,20130118,WSF2,103,,,X,
USW00014739,20130118,WSF5,143,,,X,
USW00014739,20130119,TMAX,94,,,X,2400
USW00014739,20130119,TMIN,-44,,,X,2400
USW00014739,20130119,PRCP,0,,,X,2400
USW00014739,20130119,SNOW,0,,,X,
USW00014739,20130119,AWND,78,,,X,
USW00014739,20130119,WDF2,230,,,X,
USW00014739,20130119,WDF5,220,,,X,
USW00014739,20130119,WSF2,143,,,X,
USW00014739,20130119,WSF5,174,,,X,
USW00014739,20130120,TMAX,122,,,X,2400
USW00014739,20130120,TMIN,-17,,,X,2400
USW00014739,20130120,PRCP,0,,,X,2400
USW00014739,20130120,SNOW,0,,,X,
USW00014739,20130120,AWND,83,,,X,
USW00014739,20130120,WDF2,230,,,X,
USW00014739,20130120,WDF5,250,,,X,
USW00014739,20130120,WSF2,170,,,X,
USW00014739,20130120,WSF5,206,,,X,
USW00014739,20130121,TMAX,-11,,,X,2400
USW00014739,20130121,TMIN,-50,,,X,2400
USW00014739,20130121,PRCP,3,,,X,2400
USW00014739,20130121,SNOW,10,,,X,
USW00014739,20130121,AWND,46,,,X,
USW00014739,20130121,WDF2,280,,,X,
USW00014739,20130121,WDF5,280,,,X,
USW00014739,20130121,WSF2,107,,,X,
USW00014739,20130121,WSF5,156,,,X,
USW00014739,20130121,WT01,1,,,W,
USW00014739,20130121,WT13,1,,,X,
USW00014739,20130121,WT18,1,,,X,
USW00014739,20130122,TMAX,-39,,,X,2400
USW00014739,20130122,TMIN,-94,,,X,2400
